pair_key,benchmark,model,n_tasks,b,variance_ratio
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,8,0.5214487854055606
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,16,0.5097642025781643
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,32,0.5043064993311513
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,64,0.5016406220080992
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,8,0.3823787514861715
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,16,0.37245925672825386
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,32,0.36758701306573105
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,64,0.36526852669772425
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,8,0.40949311234023594
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,16,0.4014906497865708
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,32,0.39761507298255144
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,64,0.39571137923296495
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,8,0.5468804271036376
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,16,0.5406050212397588
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,32,0.5371667185767859
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,64,0.5357410413906345
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,8,0.6547252526338042
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,16,0.6487556065783747
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,32,0.6458676795640722
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,64,0.6444676078905263
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,8,0.6786778713155414
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,16,0.6719679754251763
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,32,0.6689320696168285
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,64,0.6674729469495095
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,8,0.5021089010802258
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,16,0.49160748134768645
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,32,0.4868923455773188
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,64,0.48458851708535544
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,8,0.4093719467164289
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,16,0.3996007676316444
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,32,0.3949283074351304
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,64,0.3926349985255289
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,8,0.4313705592370177
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,16,0.42137060251493924
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,32,0.4168750685376846
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,64,0.41467307676160403
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,8,0.5895181214641952
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,16,0.5815600510209098
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,32,0.5776665140024242
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,64,0.5757850998287634
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,8,0.5522024556542423
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,16,0.5445881851987343
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,32,0.5409093791676861
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,64,0.5391341656208035
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,8,0.534382418915564
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,16,0.5243374044295718
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,32,0.5198296599437807
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,64,0.5175996655393394
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,8,0.4516764216736678
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,16,0.44452423896453674
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,32,0.4410199276054725
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,64,0.43938850971366705
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,8,0.33189327176061145
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,16,0.3230870120740193
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,32,0.31893783820654636
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,64,0.3169125916875271
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,8,0.3676624165108432
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,16,0.3581689322513452
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,32,0.35353194755352163
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,64,0.3512994830890771
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,8,0.6052434662502292
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,16,0.5983968290863055
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,32,0.5950481824367906
