profile,model,budget,strategy,time_seconds,useful_eflop,wasted_eflop,accepted_rollouts,extra_rollouts,reference_budget,target_fingerprint,protocol_fingerprint,run_uuid
aime24__model=qwen2_5_32b,qwen2_5_32b,8,uniform,392.880497802,0.018106126187505664,0.0,240,0,8,ea69bd43ad20ee5fac5510647dfaa8ce517626b5f04805acc52cd2a8c97f6282,dadcdff70d760032e2b199a4cc7cc791797fbcab2ddaa3b629d78621ede49b59,d22f2d55126244678b4e54197c74b74e
aime24__model=qwen2_5_32b,qwen2_5_32b,18,uniform,429.92311289,0.04140479767021568,0.0,540,0,16,15df857514fe1ff900dda8eaee952b9a0b13a47aa69c78faf96ba4edbc5e6298,a678301ffe1ac35db7bb4d4acca0643da1bf70eb2ffe08403bd7369f3e7efd9d,3ca4d21cb32744c7b8b330067ea9c557
aime24__model=qwen2_5_32b,qwen2_5_32b,39,uniform,570.300412907,0.08956162484818739,0.0,1170,0,32,4285dd7b166cf753ab6146fad4d1c47d0ed648fcfe18d02dc2959037e0cb3669,b1e7f93e3f752ba507cd3e822db47b680bd057ead48cac730a1a016ab8174ad0,119c3e7ec6e14c7bb4f09fbb2151f44e
aime24__model=qwen2_5_32b,qwen2_5_32b,84,uniform,841.578334109,0.21161364242494873,0.0,2520,0,64,838e74784f6d5586e078570ee7f810ae7c692c0174aa1a8be4aa8299b460f1e5,8a95786ec033bc1e17ec420db3f151fff6e04d45365ff2be1b9892df1b73cfd8,b5178bec17a74e7e86fa41673c12389f
aime24__model=qwen2_5_3b,qwen2_5_3b,9,uniform,74.206763469,0.003199452646948864,0.0,270,0,8,399b9e4ebab2974cdc03b78b8887ca78eceaded4b3dbc6a04dcfddc6f43f0926,d9147ba1613eb9815d97121c054e0fbeace21e900119187c49685e21a21b5c6c,206c6f7c588d46ad84cb07a7a9801910
aime24__model=qwen2_5_3b,qwen2_5_3b,19,uniform,93.241972753,0.009143767076888576,0.0,570,0,16,6a428c7c7ec94cb6962b309eac1c81d363b418764e3ba1829f64b19201c6bf0e,d128044d74ac9905483f1cd79430bf57e1e42e794ba095ce885c5662d8cb620b,91622f05202b400ebd38cb969fcb77ea
aime24__model=qwen2_5_3b,qwen2_5_3b,43,uniform,141.811752661,0.018852052605509633,0.0,1290,0,32,04bb4aeec7161f45fec6ec171fb69656481c376e2f6a30c5a2524f5cce757106,209e54cb84eb61ab621fdcd59c148aa0b7a697d01f5dbbb435b57127441c834d,89d9c0bccd84405380beb029c7935a31
aime24__model=qwen2_5_3b,qwen2_5_3b,96,uniform,237.423722059,0.04156228994013594,0.0,2880,0,64,50150ed3350996ee46fb092328db83437bf4bb23a2777d0169d30911b327d76d,cae807fde5d76b58ec97d4f690b8c0e568b5f59ff421188a1c0426e854509a58,1d1773b92fe8451b81204dea13a1ff97
aime24__model=qwen2_5_7b,qwen2_5_7b,9,uniform,107.922142794,0.006848987329501184,0.0,270,0,8,63112c7df58cac074f64900d363413b455998b0ff2cb1b80f09c9f3499fd3009,a3d261437ca5f9bd460b2fa5db8c4ceeac62cfa0eac1e647916f0cc3a3eabc9f,ae74f88ea69f449db7f916e68b0c8e6a
aime24__model=qwen2_5_7b,qwen2_5_7b,20,uniform,121.57733336,0.012612605585742847,0.0,600,0,16,1416f32fca74b4dfc87c905f6d443ac9a38848c70530944122244456a4ce9a7b,904829d2c5aaf0c1aaa593659cef920b0eb6119da094f38cb04b95d64335a54f,50c6eccc27ce4dee9e4909dae6275a96
