pair_key,benchmark,model,n_tasks,b,policy,alpha,m,weight,variance_ratio,ratio_mc_se
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,8,tuned_en,,6,0.7260392539092148,0.9859844809839426,0.0005020863414417357
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,16,tuned_en,,14,0.8350432926431656,0.9556807370566267,0.00015208968592821624
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,32,tuned_en,,29,0.8687410883812703,0.9520850101857015,0.00010857699462524647
aime24__model=qwen2_5_32b,aime24,qwen2_5_32b,30,64,tuned_en,,59,0.8871793265997072,0.951054315075687,8.565111610967568e-05
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,8,tuned_en,,6,0.7260392539092148,0.9596804635368305,0.0007188331889474983
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,16,tuned_en,,14,0.8350432926431656,0.9305801343632025,0.0002701283252913623
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,32,tuned_en,,29,0.8687410883812703,0.933762661560965,0.0001638595645550282
aime24__model=qwen2_5_3b,aime24,qwen2_5_3b,30,64,tuned_en,,59,0.8871793265997072,0.9416201513541028,0.0001303762268177108
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,8,tuned_en,,6,0.7260392539092148,0.9346310752349511,0.0005590126902179251
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,16,tuned_en,,14,0.8350432926431656,0.9262306210351754,0.00018645442050715198
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,32,tuned_en,,29,0.8687410883812703,0.9318604563203576,0.000128261458329114
aime24__model=qwen2_5_7b,aime24,qwen2_5_7b,30,64,tuned_en,,59,0.8871793265997072,0.9395381960539849,0.0001099499755156515
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,8,tuned_en,,6,0.7260392539092148,0.9348295100808102,0.00030099588359353013
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,16,tuned_en,,14,0.8350432926431656,0.9435561327384465,6.85038607626247e-05
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,32,tuned_en,,29,0.8687410883812703,0.9480153698150052,5.5763401404067064e-05
aime24__model=qwen3_5_27b,aime24,qwen3_5_27b,30,64,tuned_en,,59,0.8871793265997072,0.9515226940422626,5.2700662263863466e-05
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,8,tuned_en,,6,0.7260392539092148,0.9653626749419251,0.0002964407871761045
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,16,tuned_en,,14,0.8350432926431656,0.9624107895408383,7.994539732888894e-05
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,32,tuned_en,,29,0.8687410883812703,0.965758618662401,5.208673834664668e-05
